Dress_ID,Style,Price,Rating,Size,Season,NeckLine,SleeveLength,waiseline,Material,FabricType,Decoration,Pattern Type,Recommendation
1006032852,Sexy,Low,4.6,M,Summer,o-neck,sleevless,empire,,chiffon,ruffles,animal,1
1212192089,Casual,Low,0.0,L,Summer,o-neck,Petal,natural,microfiber,,ruffles,animal,0
1190380701,vintage,High,0.0,L,Automn,o-neck,full,natural,polyster,,,print,0
966005983,Brief,Average,4.6,L,Spring,o-neck,full,natural,silk,chiffon,embroidary,print,1
876339541,cute,Low,4.5,M,Summer,o-neck,butterfly,natural,chiffonfabric,chiffon,bow,dot,0
1068332458,bohemian,Low,0.0,M,Summer,v-neck,sleevless,empire,,,,print,0
1220707172,Casual,Average,0.0,XL,Summer,o-neck,full,,cotton,,,solid,0
1219677488,Novelty,Average,0.0,free,Automn,o-neck,short,natural,polyster,broadcloth,lace,,0
1113094204,Flare,Average,0.0,free,Spring,v-neck,short,empire,cotton,broadcloth,beading,solid,1
985292672,bohemian,Low,0.0,free,Summer,v-neck,sleevless,natural,nylon,chiffon,,,1
1117293701,party,Average,5.0,free,Summer,o-neck,full,natural,polyster,broadcloth,lace,solid,0
898481530,Flare,Average,0.0,free,Spring,v-neck,short,,nylon,,,animal,0
957723897,sexy,Low,4.7,M,Winter,o-neck,threequarter,,,chiffon,lace,print,1
749031896,vintage,Average,4.8,M,Summer,o-neck,short,empire,cotton,jersey,,animal,1
1055411544,Casual,Low,5.0,M,Summer,boat-neck,short,,cotton,,sashes,solid,0
1162628131,Casual,Low,0.0,free,Winter,boat-neck,full,,other,other,lace,,0
624314841,cute,Average,4.7,L,spring,o-neck,short,,cotton,,sashes,solid,1
830467746,bohemian,Medium,5.0,free,Automn,o-neck,full,natural,,,hollowout,patchwork,1
840857118,Brief,Average,0.0,M,Winter,peterpan-collor,threequarter,natural,cotton,,,patchwork,0
1113221101,Sexy,Average,5.0,M,Automn,o-neck,sleevless,empire,milksilk,,,,1
861754372,Sexy,Average,4.5,L,Automn,o-neck,full,,cotton,,beading,solid,0
856178100,Casual,Low,4.3,M,Summer,o-neck,sleevless,natural,,chiffon,,solid,0
1122989777,Brief,Low,4.0,XL,Summer,v-neck,short,natural,cotton,,pockets,solid,0
840516484,Sexy,Average,4.7,S,Summer,v-neck,sleevless,empire,cotton,,sequined,solid,1
768517084,Sexy,Average,0.0,free,Automn,v-neck,sleevless,natural,polyster,,lace,patchwork,0
1139843344,Sexy,Average,0.0,M,Automn,o-neck,sleevless,empire,cotton,broadcloth,,print,0
1004212992,Sexy,Average,4.7,M,Spring,o-neck,sleevless,natural,,,,solid,1
1235426503,Casual,Low,0.0,L,Summer,o-neck,sleevless,natural,cotton,jersey,,print,0
942808364,cute,Low,4.3,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,striped,0
629131530,cute,Low,4.7,M,Spring,ruffled,short,empire,chiffonfabric,chiffon,bow,dot,1
851945460,Casual,Average,4.6,L,Automn,o-neck,sleevless,empire,polyster,chiffon,ruffles,solid,0
1150275464,Casual,Low,0.0,M,Spring,o-neck,sleevless,natural,silk,chiffon,applique,solid,1
1026634314,Casual,Average,4.4,L,Automn,o-neck,sleevless,natural,linen,chiffon,ruffles,animal,0
978773911,Brief,Average,4.3,L,Spring,o-neck,sleevless,empire,,,bow,solid,1
827791337,party,High,4.7,M,Spring,o-neck,threequarter,,,,,print,0
640823350,Casual,Low,4.6,free,Winter,boat-neck,full,natural,cotton,,,patchwork,1
801861988,vintage,Average,4.6,free,Winter,o-neck,full,natural,,chiffon,,print,1
1060207186,Brief,Average,0.0,M,Automn,o-neck,short,natural,cotton,,,print,0
1054679816,party,Average,4.6,M,Winter,o-neck,sleevless,natural,cotton,,lace,solid,1
941190190,Casual,Average,4.5,M,Spring,v-neck,short,empire,cotton,,button,solid,1
943844640,Brief,Average,5.0,free,Spring,v-neck,sleevless,natural,cotton,broadcloth,lace,solid,1
661795386,Brief,Low,4.4,L,Automn,o-neck,halfsleeve,natural,rayon,chiffon,sashes,solid,0
875312593,Casual,Average,4.8,M,Winter,o-neck,short,natural,lycra,broadcloth,applique,patchwork,0
971387676,Casual,Low,4.8,free,Spring,o-neck,sleevless,natural,cotton,,,print,0
1021185637,vintage,Average,4.8,M,Winter,o-neck,sleevless,natural,cotton,,,patchwork,1
1163826114,Sexy,Average,0.0,M,Winter,o-neck,short,natural,,,lace,solid,0
735635595,Sexy,Average,4.8,L,Spring,v-neck,threequarter,empire,polyster,,lace,geometric,0
1175184188,Casual,Average,0.0,M,Summer,o-neck,halfsleeve,natural,cotton,chiffon,ruffles,dot,1
679415939,Casual,Low,4.7,M,Summer,o-neck,sleevless,empire,milksilk,,,solid,0
884147971,Casual,Medium,0.0,L,Winter,boat-neck,full,empire,,,,solid,1
841203385,Sexy,Low,5.0,free,Summer,v-neck,sleevless,empire,,chiffon,,animal,1
1117997056,Casual,Low,4.3,free,Summer,o-neck,sleevless,,milksilk,,,animal,0
1160536550,Casual,Average,0.0,L,Spring,o-neck,halfsleeve,natural,polyster,chiffon,hollowout,solid,1
828623528,Casual,Average,4.6,free,Automn,o-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
763708514,sexy,Average,4.5,M,Spring,o-neck,threequarter,natural,polyster,,lace,geometric,0
1153442065,Novelty,Average,0.0,S,Winter,turndowncollor,full,natural,cotton,,,patchwork,0
743729613,Casual,Average,4.9,S,Winter,turndowncollor,full,natural,cotton,,,solid,1
1000493051,sexy,Low,4.6,L,Automn,o-neck,sleevless,natural,,,lace,solid,1
911085061,bohemian,Low,4.5,M,Summer,v-neck,sleevless,natural,polyster,,,print,1
1174854264,work,Average,0.0,M,Automn,slash-neck,sleevless,natural,polyster,,bow,patchwork,0
1053296757,cute,High,0.0,M,Spring,v-neck,full,natural,rayon,,,solid,1
1033843327,Casual,Average,0.0,free,Spring,o-neck,short,natural,cotton,,hollowout,plaid,0
1083779666,Casual,Average,5.0,M,Summer,o-neck,short,empire,polyster,chiffon,,animal,0
746255172,Casual,Average,4.7,M,spring,o-neck,sleevless,natural,,chiffon,sashes,solid,0
1100974555,Sexy,Low,4.0,S,Automn,o-neck,sleevless,empire,cotton,,,solid,1
1019134411,Casual,Average,5.0,M,Automn,v-neck,short,natural,cotton,broadcloth,beading,solid,0
1072477320,Casual,Low,0.0,free,Summer,v-neck,halfsleeve,natural,silk,broadcloth,applique,solid,0
638423913,Casual,Medium,4.5,S,Winter,o-neck,full,natural,polyster,,,patchwork,1
936425780,work,Average,4.8,L,Summer,v-neck,short,natural,polyster,,hollowout,solid,0
1146088956,Casual,Medium,0.0,M,Automn,v-neck,short,empire,polyster,,,solid,0
864253055,bohemian,Average,5.0,free,Summer,v-neck,sleevless,natural,cotton,batik,,print,1
1210582154,sexy,Low,0.0,M,Spring,v-neck,short,natural,polyster,satin,ruffles,solid,1
926480831,Sexy,Average,4.2,M,Winter,v-neck,sleevless,natural,cotton,flannael,,solid,0
757260823,Casual,Low,4.8,free,Spring,o-neck,full,natural,cotton,worsted,lace,solid,0
630561922,Casual,Low,4.4,S,Automn,o-neck,sleevless,natural,polyster,,,solid,0
734061929,Casual,Low,4.7,L,Spring,o-neck,short,,chiffonfabric,chiffon,bow,dot,0
842060995,Casual,Average,5.0,XL,Winter,boat-neck,full,,cotton,,,geometric,1
1078431253,Casual,Low,0.0,free,Spring,v-neck,sleevless,,cotton,,,print,0
939770391,Casual,Average,0.0,free,Spring,o-neck,sleevless,natural,,chiffon,,solid,0
943188872,bohemian,very-high,4.7,free,Winter,v-neck,sleevless,,polyster,,,,1
1130994272,Casual,Low,5.0,M,Summer,v-neck,sleevless,empire,polyster,chiffon,ruffles,animal,0
907117649,party,Average,4.7,M,Spring,v-neck,sleevless,natural,polyster,chiffon,hollowout,solid,0
967999477,Sexy,Low,5.0,free,Spring,o-neck,full,natural,cotton,worsted,,striped,0
944656411,vintage,Low,4.6,M,Summer,o-neck,short,natural,,chiffon,,print,0
1096779299,Casual,Average,0.0,free,Winter,o-neck,halfsleeve,empire,polyster,chiffon,hollowout,solid,0
1036333255,Casual,low,4.9,L,Summer,boat-neck,short,,,chiffon,,patchwork,1
1065316076,Casual,Low,0.0,S,Automn,o-neck,full,natural,,,beading,solid,1
995802744,Sexy,Average,4.0,S,Automn,v-neck,sleevless,,rayon,chiffon,,patchwork,1
1018110870,Sexy,Low,5.0,M,Automn,o-neck,full,natural,,chiffon,lace,print,1
850586379,Brief,Average,4.6,M,Winter,peterpan-collor,threequarter,,cotton,,,solid,0
1169895668,Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,,applique,patchwork,1
688966772,Casual,Average,4.8,L,Winter,o-neck,short,natural,cotton,,pockets,solid,1
1194626925,OL,Medium,0.0,M,Winter,mandarin-collor,halfsleeve,natural,cotton,,sashes,solid,0
876708804,Sexy,Low,4.8,M,Spring,o-neck,halfsleeve,natural,silk,,,solid,0
1118628066,Casual,Medium,0.0,S,Spring,v-neck,full,,,,,animal,1
1027818824,Casual,Medium,0.0,M,Spring,v-neck,threequarter,natural,silk,chiffon,ruffles,solid,1
891103323,Casual,Average,0.0,M,Spring,o-neck,sleevless,natural,silk,,,print,0
1166855026,Casual,Average,0.0,free,Winter,v-neck,full,natural,,chiffon,ruffles,print,0
1023850025,vintage,Low,4.8,S,Summer,o-neck,short,natural,,chiffon,ruffles,print,0
805438829,Sexy,Low,4.8,L,Summer,v-neck,full,natural,cotton,jersey,applique,print,1
836788720,fashion,Average,4.0,free,Summer,open,full,,cotton,,sequined,solid,0
835787654,Casual,Average,4.7,L,Summer,v-neck,short,natural,,,,print,1
1148457078,Casual,Low,0.0,free,Winter,o-neck,halfsleeve,natural,polyster,worsted,,patchwork,1
887476609,bohemian,Low,4.8,free,Summer,o-neck,short,,,,,animal,1
535968075,work,Medium,4.6,L,Winter,sqare-collor,short,empire,cotton,,Tiered,solid,0
892801580,vintage,Average,4.7,L,Summer,o-neck,short,natural,cotton,,button,solid,0
732650169,cute,Low,4.7,M,Spring,o-neck,short,empire,polyster,chiffon,ruffles,dot,1
680070369,Casual,Low,4.6,free,Automn,o-neck,full,natural,cotton,,,solid,1
1002440915,Casual,Medium,0.0,free,Spring,o-neck,sleevless,natural,cotton,broadcloth,sequined,solid,1
737538048,Casual,Average,4.7,L,Automn,o-neck,halfsleeve,,,,lace,,0
1104450248,Sexy,Average,0.0,L,Automn,v-neck,sleevless,empire,,chiffon,,patchwork,0
797673346,Casual,Low,4.7,free,Winter,o-neck,sleevless,natural,cotton,jersey,,solid,1
1039982741,Casual,Average,0.0,M,Automn,o-neck,short,empire,polyster,,applique,print,0
829087315,cute,Average,4.8,L,Automn,slash-neck,sleevless,natural,,chiffon,hollowout,solid,0
1032990258,party,Average,5.0,M,Spring,o-neck,halfsleeve,natural,,,,,1
939422280,cute,Average,4.3,L,Winter,o-neck,sleevless,natural,,chiffon,,solid,0
974746803,Casual,Average,4.5,L,Spring,o-neck,short,natural,cotton,chiffon,,patchwork,0
1018130478,Casual,Low,4.7,L,Automn,o-neck,full,,cotton,chiffon,lace,print,0
956758119,Casual,Low,4.5,free,Automn,v-neck,short,natural,silk,worsted,lace,solid,0
903426442,sexy,Average,3.6,L,Winter,v-neck,full,natural,polyster,woolen,beading,solid,1
861626197,work,Average,4.8,L,Winter,v-neck,short,natural,mix,broadcloth,lace,solid,0
1077015977,vintage,Average,0.0,free,Summer,o-neck,sleevless,,,,,,0
817870237,Sexy,Low,4.6,free,Spring,o-neck,full,natural,,,lace,leopard,1
1078996836,Sexy,Low,0.0,free,Winter,v-neck,sleevless,empire,cotton,chiffon,,solid,1
881530990,work,Average,4.6,L,Spring,o-neck,short,empire,cotton,jersey,,patchwork,0
937046375,Casual,Average,4.4,M,Summer,o-neck,short,empire,,,lace,patchwork,0
870994067,cute,Low,4.9,M,Automn,o-neck,short,natural,chiffonfabric,chiffon,bow,dot,0
893330898,Sexy,Low,4.6,free,Summer,v-neck,sleevless,natural,cotton,broadcloth,beading,solid,0
822053936,party,Average,4.4,free,Automn,v-neck,threequarter,natural,,,,solid,0
1059959935,Casual,Average,0.0,free,Spring,o-neck,short,,cotton,,lace,,1
1197204708,Casual,Low,0.0,M,Summer,v-neck,full,natural,acrylic,,lace,solid,0
713439584,Sexy,Average,4.6,M,Winter,o-neck,full,natural,polyster,,,patchwork,1
732736124,work,Average,4.6,M,Spring,v-neck,full,,,chiffon,,,0
709353440,cute,Average,4.7,L,Winter,o-neck,sleevless,natural,chiffonfabric,,lace,solid,0
1031230798,bohemian,Average,4.7,L,Automn,o-neck,sleevless,natural,,chiffon,,solid,0
1225512606,cute,High,0.0,M,Winter,o-neck,threequarter,empire,silk,chiffon,lace,patchwork,0
1158347154,Casual,Average,0.0,XL,Winter,o-neck,short,empire,polyster,,button,solid,0
976975672,Novelty,Average,4.9,L,Automn,o-neck,short,natural,polyster,chiffon,,print,1
520233308,Casual,Low,4.7,M,Automn,o-neck,full,,cotton,,,solid,0
935827969,cute,Average,4.3,free,Summer,boat-neck,sleevless,,,,,,1
1130624045,Sexy,Low,0.0,free,Automn,slash-neck,short,empire,,,hollowout,solid,0
547555172,cute,Low,4.7,XL,Summer,o-neck,short,empire,chiffonfabric,chiffon,bow,print,0
1083323104,Sexy,low,4.5,L,Spring,o-neck,sleevless,,,,lace,solid,0
955188745,Casual,Average,4.7,M,Automn,o-neck,sleevless,,cotton,,,animal,1
1140306858,Casual,Average,0.0,L,Spring,boat-neck,sleevless,natural,cotton,,lace,solid,1
895807023,cute,low,4.7,free,Summer,o-neck,sleevless,,,chiffon,,print,1
818505402,Casual,low,4.4,free,Summer,turndowncollor,sleevless,natural,cotton,,,solid,0
897981100,Casual,Average,4.8,L,winter,v-neck,short,empire,polyster,,ruffles,solid,0
973481686,vintage,Average,4.3,free,winter,o-neck,short,,chiffonfabric,chiffon,,print,0
1021375534,cute,low,4.5,L,Summer,o-neck,sleevless,natural,cotton,chiffon,sashes,solid,1
549437715,Casual,Average,4.4,M,Summer,turndowncollor,sleevless,natural,chiffonfabric,chiffon,,solid,0
1097548715,vintage,Medium,0.0,S,Winter,turndowncollor,halfsleeve,natural,cotton,broadcloth,,plaid,0
578702321,Sexy,low,4.7,free,Summer,turndowncollor,sleevless,natural,cotton,,,solid,1
1155548915,vintage,High,0.0,L,Summer,o-neck,short,natural,cotton,,,print,0
1199064757,Casual,low,0.0,free,Spring,v-neck,threequarter,,silk,,lace,,1
1078994436,Sexy,Average,0.0,S,Automn,slash-neck,short,natural,,,lace,solid,0
949226757,Casual,Low,0.0,free,Spring,o-neck,short,natural,,,hollowout,solid,0
832191944,cute,Medium,5.0,free,Winter,o-neck,sleevless,natural,silk,,lace,solid,1
869572905,Casual,Low,4.7,free,Summer,o-neck,sleevless,,,,,print,0
896048351,Sexy,Low,4.8,free,Spring,v-neck,sleevless,,,,sequined,solid,1
854444464,Casual,Average,4.5,L,Winter,o-neck,short,natural,cotton,,bow,patchwork,0
1246749980,vintage,Average,0.0,S,Spring,o-neck,full,natural,mix,chiffon,embroidary,print,0
849613634,Casual,Average,3.7,free,Automn,boat-neck,full,,,,,solid,1
1019768234,vintage,Average,4.8,L,Winter,o-neck,sleevless,natural,cotton,,,patchwork,0
785830491,cute,Average,0.0,XL,Spring,boat-neck,full,,cotton,worsted,applique,dot,1
832391864,Casual,Average,0.0,L,Winter,open,short,natural,mix,poplin,applique,solid,1
1069595866,sexy,Medium,5.0,M,Winter,o-neck,sleevless,empire,polyster,,bow,solid,0
733715437,Brief,Average,4.9,free,Summer,slash-neck,sleevless,natural,,,,solid,0
828949946,Casual,High,4.9,S,Spring,o-neck,threequarter,natural,,,,dot,1
765264430,Brief,Average,4.6,free,Winter,o-neck,full,natural,mix,,sashes,solid,0
722020708,Casual,Low,4.5,free,Winter,o-neck,full,natural,mix,worsted,applique,solid,0
980295760,Casual,Low,4.8,XL,Summer,o-neck,short,empire,mix,chiffon,sashes,geometric,0
913978120,Sexy,Medium,4.6,L,Summer,o-neck,short,natural,spandex,jersey,lace,solid,0
1062354779,Casual,Average,4.5,M,Winter,v-neck,sleevless,natural,,chiffon,button,striped,0
1051749304,work,Average,0.0,S,Automn,o-neck,sleevless,natural,linen,,,patchwork,0
1206128856,Casual,Low,0.0,L,Winter,o-neck,sleevless,empire,polyster,,,leopard,0
956453735,cute,low,5.0,L,Winter,o-neck,threequarter,natural,silk,chiffon,sashes,print,0
767971724,Brief,Average,4.3,M,Spring,o-neck,full,natural,mix,worsted,sequined,patchwork,1
722565148,Sexy,low,4.4,free,Automn,o-neck,full,empire,cotton,,,leopard,0
1167448608,cute,low,0.0,free,Summer,peterpan-collor,short,empire,cotton,broadcloth,applique,print,0
549159213,Casual,Average,4.5,free,Summer,o-neck,short,natural,cotton,,,solid,1
940918554,Sexy,low,4.7,M,Winter,slash-neck,sleevless,,nylon,,sashes,solid,1
522776523,Casual,low,4.7,free,Spring,o-neck,sleevless,empire,cotton,chiffon,,floral,0
658650071,Casual,Medium,4.8,M,Winter,peterpan-collor,short,natural,polyster,chiffon,lace,patchwork,0
560474456,Sexy,low,4.3,free,Winter,v-neck,sleevless,natural,silk,worsted,lace,solid,1
1150052066,bohemian,Average,0.0,L,Winter,turndowncollor,full,natural,mix,,,solid,0
929797706,Casual,Low,0.0,free,,o-neck,full,natural,cotton,,,patchwork,0
886351969,cute,Medium,4.8,free,Spring,slash-neck,sleevless,natural,polyster,chiffon,sashes,solid,1
1071947910,Sexy,Average,0.0,S,Automn,v-neck,sleevless,empire,cotton,,beading,solid,0
813753347,Casual,Low,4.6,S,Spring,o-neck,full,natural,cotton,,,solid,1
733134203,vintage,Medium,4.7,free,Spring,turndowncollor,sleevless,natural,mix,,lace,solid,1
